,eid,timestamp,activity,vacancies,managers,applicants,applications,recruiters,offers
3606,3607,2019-08-02 13:37:59+00:00,consult manager,,['Bastian Nominacher'],,['Application[770496]'],['Jana Meister'],
3607,3608,2019-08-02 13:37:59+00:00,consult manager,,['Bastian Nominacher'],,['Application[770400]'],['Jana Geisler'],
3608,3609,2019-08-02 13:37:59+00:00,consult manager,,['Bastian Nominacher'],,['Application[770523]'],['Dionne Meister'],
3609,3610,2019-08-02 13:40:47+00:00,conduct interview,['Vacancy[550016] - Manager'],['Alexander Rinke'],['Andre Weber'],['Application[770356]'],['Ed Geisler'],
3610,3611,2019-08-02 13:43:42+00:00,assign recruiter,,,,['Application[770476]'],"['Dionne Kershaw', 'Jana Meister', 'Ed Meister']",
3611,3612,2019-08-02 13:55:55+00:00,assign vacancy,['Vacancy[550044] - Manager'],,,['Application[770465]'],,
3612,3613,2019-08-02 14:08:49+00:00,send rejection,,,['Lisa Park'],['Application[770286]'],['Dionne Meister'],
3613,3614,2019-08-02 14:08:49+00:00,submit application,['Vacancy[550104] - Manager'],,['Lisa Park'],['Application[770631]'],,
3614,3615,2019-08-02 14:24:02+00:00,check references,,,,['Application[770377]'],"['Dionne Hense', 'Ed Meister']",
3615,3616,2019-08-02 14:38:55+00:00,first screening,,,,['Application[770619]'],['Ed Hense'],
3616,3617,2019-08-02 14:48:26+00:00,assign recruiter,,,,['Application[770606]'],"['Simon Hense', 'Jana Hense', 'Simon Keane']",
3617,3618,2019-08-02 14:54:34+00:00,invite for interview,['Vacancy[550062] - Programmer'],,['Ray Pietersen'],['Application[770485]'],"['Dionne Geisler', 'Simon Hense']",
3618,3619,2019-08-02 14:56:06+00:00,make job offer,['Vacancy[550031] - Programmer'],['Vaishnavi Sashikanth'],['Dave Neumann'],['Application[770395]'],['Ed Hense'],['Offer[[990045]]']
3619,3620,2019-08-02 15:24:32+00:00,send rejection,,,['Chun Weber'],['Application[770131]'],['Dionne Hense'],
3620,3621,2019-08-02 15:24:32+00:00,submit application,,,['Chun Weber'],['Application[770632]'],,
3621,3622,2019-08-02 15:30:24+00:00,send rejection,,,['Mary Pietersen'],['Application[770525]'],['Jana Geisler'],
3622,3623,2019-08-02 15:44:45+00:00,first screening,,,,['Application[770355]'],['Ed Keane'],
3623,3624,2019-08-02 16:06:00+00:00,assign recruiter,,,,['Application[770600]'],"['Simon Keane', 'Ed Geisler', 'Ed Kershaw']",
3624,3625,2019-08-02 16:16:54+00:00,check references,,,,['Application[770385]'],"['Jana Keane', 'Jana Geisler']",
3625,3626,2019-08-02 16:33:24+00:00,submit application,['Vacancy[550066] - Consultant'],,['Mary Pietersen'],['Application[770633]'],,
3626,3627,2019-08-02 16:43:25+00:00,consult manager,,['Alexander Rinke'],,['Application[770562]'],['Jana Meister'],
3627,3628,2019-08-02 17:14:19+00:00,check references,,,,['Application[770505]'],"['Dionne Hense', 'Dionne Kershaw']",
3628,3629,2019-08-02 17:44:47+00:00,check references,,,,['Application[770576]'],"['Dionne Meister', 'Ed Geisler']",
3629,3630,2019-08-02 19:06:30+00:00,open vacancy,['Vacancy[550109] - Consultant'],['Alexander Rinke'],,,,
3630,3631,2019-08-02 19:34:08+00:00,first screening,,,,['Application[770411]'],['Simon Meister'],
3631,3632,2019-08-02 20:12:38+00:00,first screening,,,,['Application[770503]'],['Simon Hense'],
3632,3633,2019-08-03 07:23:51+00:00,close vacancy for new applications,['Vacancy[550066] - Consultant'],,,,,
3633,3634,2019-08-03 07:23:51+00:00,consult manager,,['Miguel Milano'],,['Application[770556]'],['Jana Keane'],
3634,3635,2019-08-03 07:23:51+00:00,consult manager,,['Miguel Milano'],,['Application[770445]'],['Jana Meister'],
3635,3636,2019-08-03 14:26:39+00:00,close vacancy for new applications,['Vacancy[550067] - Manager'],,,,,
3636,3637,2019-08-03 14:26:39+00:00,consult manager,,['Martin Klenk'],,['Application[770563]'],['Jana Hense'],
3637,3638,2019-08-03 14:26:39+00:00,consult manager,,['Martin Klenk'],,['Application[770466]'],['Dionne Geisler'],
3638,3639,2019-08-04 08:08:15+00:00,close vacancy for new applications,['Vacancy[550068] - Consultant'],,,,,
3639,3640,2019-08-04 08:08:15+00:00,consult manager,,['Miguel Milano'],,['Application[770412]'],['Simon Kershaw'],
3640,3641,2019-08-04 08:08:15+00:00,consult manager,,['Miguel Milano'],,['Application[770470]'],['Simon Keane'],
3641,3642,2019-08-04 14:55:27+00:00,close vacancy for new applications,['Vacancy[550069] - Manager'],,,,,
3642,3643,2019-08-05 07:39:52+00:00,send rejection,,,['Chun Taylor'],['Application[770601]'],['Ed Kershaw'],
3643,3644,2019-08-05 07:39:52+00:00,submit application,,,['Chun Taylor'],['Application[770634]'],,
3644,3645,2019-08-05 07:48:27+00:00,first screening,,,,['Application[770530]'],['Simon Geisler'],
3645,3646,2019-08-05 08:19:18+00:00,consult manager,,['Miguel Milano'],,['Application[770612]'],['Ed Keane'],
3646,3647,2019-08-05 08:21:27+00:00,assign vacancy,['Vacancy[550052] - Consultant'],,,['Application[770329]'],,
3647,3648,2019-08-05 08:25:11+00:00,assign vacancy,['Vacancy[550066] - Consultant'],,,['Application[770499]'],,
3648,3649,2019-08-05 08:27:15+00:00,first screening,,,,['Application[770575]'],['Ed Meister'],
3649,3650,2019-08-05 08:31:54+00:00,check references,,,,['Application[770527]'],"['Dionne Meister', 'Jana Geisler']",
3650,3651,2019-08-05 08:43:54+00:00,open vacancy,['Vacancy[550110] - Programmer'],['Vaishnavi Sashikanth'],,,,
3651,3652,2019-08-05 08:49:08+00:00,assign recruiter,,,,['Application[770545]'],"['Dionne Meister', 'Dionne Keane', 'Ed Kershaw']",
3652,3653,2019-08-05 08:59:33+00:00,first screening,,,,['Application[770600]'],['Simon Keane'],
3653,3654,2019-08-05 09:33:26+00:00,first screening,,,,['Application[770435]'],['Jana Hense'],
3654,3655,2019-08-05 09:46:54+00:00,invite for interview,['Vacancy[550067] - Manager'],,['Sue Lopez'],['Application[770563]'],"['Dionne Meister', 'Jana Geisler']",
3655,3656,2019-08-05 09:47:07+00:00,conduct interview,['Vacancy[550053] - Manager'],['Miguel Milano'],['Stephan Lemmens'],['Application[770392]'],['Ed Hense'],
3656,3657,2019-08-05 09:56:30+00:00,check references,,,,['Application[770558]'],"['Jana Geisler', 'Simon Geisler']",
3657,3658,2019-08-05 10:04:39+00:00,conduct interview,['Vacancy[550037] - Consultant'],['Miguel Milano'],['Mary Weber'],['Application[770479]'],['Jana Meister'],
3658,3659,2019-08-05 10:05:19+00:00,assign vacancy,['Vacancy[550075] - Programmer'],,,['Application[770318]'],,
3659,3660,2019-08-05 10:08:44+00:00,consult manager,,['Martin Klenk'],,['Application[770512]'],['Dionne Keane'],
3660,3661,2019-08-05 10:18:58+00:00,send rejection,,,['Stephan Li'],['Application[770556]'],['Jana Keane'],
3661,3662,2019-08-05 10:18:58+00:00,submit application,['Vacancy[550072] - Consultant'],,['Stephan Li'],['Application[770635]'],,
3662,3663,2019-08-05 10:21:31+00:00,send rejection,,,['Angela Wagner'],['Application[770530]'],['Simon Geisler'],
3663,3664,2019-08-05 10:33:00+00:00,assign recruiter,,,,['Application[770511]'],"['Dionne Meister', 'Ed Hense', 'Simon Keane']",
3664,3665,2019-08-05 11:22:16+00:00,submit application,['Vacancy[550098] - Manager'],,['Angela Wagner'],['Application[770636]'],,
3665,3666,2019-08-05 11:54:10+00:00,conduct interview,['Vacancy[550062] - Programmer'],['Martin Klenk'],['Ray Pietersen'],['Application[770485]'],['Simon Geisler'],
3666,3667,2019-08-05 12:26:55+00:00,assign recruiter,,,,['Application[770582]'],"['Jana Geisler', 'Jana Meister', 'Dionne Keane']",
3667,3668,2019-08-05 12:27:48+00:00,assign vacancy,['Vacancy[550054] - Programmer'],,,['Application[770463]'],,
3668,3669,2019-08-05 13:35:36+00:00,job offer declined,['Vacancy[550026] - Programmer'],,['Dave Neumann'],['Application[770395]'],['Ed Hense'],['Offer[[990045]]']
3669,3670,2019-08-05 13:40:22+00:00,check references,,,,['Application[770573]'],"['Jana Geisler', 'Jana Keane']",
3670,3671,2019-08-05 13:47:28+00:00,first screening,,,,['Application[770623]'],['Ed Meister'],
3671,3672,2019-08-05 13:48:01+00:00,consult manager,,['Alexander Rinke'],,['Application[770335]'],['Dionne Geisler'],
3672,3673,2019-08-05 13:53:18+00:00,assign vacancy,['Vacancy[550067] - Manager'],,,['Application[770604]'],,
3673,3674,2019-08-05 14:01:08+00:00,consult manager,,['Bastian Nominacher'],,['Application[770524]'],['Ed Meister'],
3674,3675,2019-08-05 14:10:16+00:00,conduct interview,['Vacancy[550027] - Programmer'],['Ariel Bardin'],['Lisa Neumann'],['Application[770393]'],['Ed Keane'],
3675,3676,2019-08-05 14:35:09+00:00,offer accepted and hired,['Vacancy[550055] - Consultant'],,['Detlef Johnson'],['Application[770471]'],['Jana Kershaw'],['Offer[[990042]]']
3676,3677,2019-08-05 14:44:13+00:00,invite for interview,['Vacancy[550067] - Manager'],,['Johan Neumann'],['Application[770466]'],"['Jana Geisler', 'Dionne Hense']",
3677,3678,2019-08-05 14:59:21+00:00,send rejection,,,['Angela Schmidt'],['Application[770441]'],['Simon Keane'],
3678,3679,2019-08-05 14:59:21+00:00,submit application,['Vacancy[550095] - Manager'],,['Angela Schmidt'],['Application[770637]'],,
3679,3680,2019-08-05 15:14:02+00:00,consult manager,,['Miguel Milano'],,['Application[770474]'],['Jana Hense'],
3680,3681,2019-08-05 15:34:29+00:00,first screening,,,,['Application[770551]'],['Dionne Kershaw'],
3681,3682,2019-08-05 16:06:45+00:00,open vacancy,['Vacancy[550111] - Programmer'],['Miguel Milano'],,,,
3682,3683,2019-08-06 06:29:49+00:00,conduct interview,['Vacancy[550036] - Manager'],['Martin Klenk'],['Pete Johnson'],['Application[770361]'],['Simon Hense'],
3683,3684,2019-08-06 06:53:26+00:00,assign vacancy,['Vacancy[550083] - Consultant'],,,['Application[770476]'],,
3684,3685,2019-08-06 06:53:58+00:00,conduct interview,['Vacancy[550058] - Manager'],['Martin Klenk'],['Johan Davis'],['Application[770419]'],['Simon Keane'],
3685,3686,2019-08-06 07:21:14+00:00,consult manager,,['Ariel Bardin'],,['Application[770490]'],['Dionne Geisler'],
3686,3687,2019-08-06 07:33:44+00:00,assign recruiter,,,,['Application[770565]'],"['Ed Geisler', 'Jana Kershaw', 'Simon Meister']",
3687,3688,2019-08-06 07:41:56+00:00,assign recruiter,,,,['Application[770616]'],"['Simon Meister', 'Ed Hense', 'Jana Kershaw']",
3688,3689,2019-08-06 07:52:06+00:00,check references,,,,['Application[770585]'],"['Dionne Geisler', 'Ed Hense']",
3689,3690,2019-08-06 07:54:01+00:00,send rejection,,,['Andre Park'],['Application[770411]'],['Simon Meister'],
3690,3691,2019-08-06 07:54:01+00:00,submit application,['Vacancy[550105] - Consultant'],,['Andre Park'],['Application[770638]'],,
3691,3692,2019-08-06 08:06:24+00:00,check references,,,,['Application[770480]'],"['Dionne Geisler', 'Dionne Hense']",
3692,3693,2019-08-06 08:16:26+00:00,send rejection,,,['Mary Wang'],['Application[770494]'],['Jana Keane'],
3693,3694,2019-08-06 08:16:31+00:00,first screening,,,,['Application[770465]'],['Jana Hense'],
3694,3695,2019-08-06 08:18:19+00:00,first screening,,,,['Application[770476]'],['Dionne Kershaw'],
3695,3696,2019-08-06 08:20:42+00:00,assign vacancy,['Vacancy[550099] - Manager'],,,['Application[770545]'],,
3696,3697,2019-08-06 08:21:12+00:00,conduct interview,['Vacancy[550067] - Manager'],['Martin Klenk'],['Sue Lopez'],['Application[770563]'],['Jana Hense'],
3697,3698,2019-08-06 08:31:58+00:00,first screening,,,,['Application[770504]'],['Simon Geisler'],
3698,3699,2019-08-06 08:42:39+00:00,check references,,,,['Application[770588]'],"['Ed Keane', 'Simon Keane']",
3699,3700,2019-08-06 08:45:37+00:00,assign vacancy,['Vacancy[550070] - Programmer'],,,['Application[770565]'],,
3700,3701,2019-08-06 08:46:12+00:00,first screening,,,,['Application[770565]'],['Ed Geisler'],
3701,3702,2019-08-06 08:48:55+00:00,first screening,,,,['Application[770450]'],['Ed Keane'],
3702,3703,2019-08-06 09:03:43+00:00,consult manager,,['Bastian Nominacher'],,['Application[770442]'],['Simon Keane'],
3703,3704,2019-08-06 09:18:49+00:00,send rejection,,,['Sue Pietersen'],['Application[770589]'],['Dionne Hense'],
3704,3705,2019-08-06 09:20:15+00:00,assign recruiter,,,,['Application[770627]'],"['Simon Kershaw', 'Jana Geisler', 'Ed Keane']",
3705,3706,2019-08-06 09:28:27+00:00,open vacancy,['Vacancy[550112] - Consultant'],['Martin Klenk'],,,,
3706,3707,2019-08-06 09:29:42+00:00,send rejection,,,['Lisa Schmidt'],['Application[770317]'],['Simon Meister'],
3707,3708,2019-08-06 09:32:21+00:00,submit application,['Vacancy[550086] - Manager'],,['Lisa Schmidt'],['Application[770639]'],,
3708,3709,2019-08-06 09:41:07+00:00,assign recruiter,,,,['Application[770599]'],"['Simon Meister', 'Dionne Kershaw', 'Ed Geisler']",
3709,3710,2019-08-06 09:46:18+00:00,consult manager,,['Miguel Milano'],,['Application[770564]'],['Simon Kershaw'],
3710,3711,2019-08-06 10:06:52+00:00,send rejection,,,['Jorge Lemmens'],['Application[770507]'],['Ed Keane'],
3711,3712,2019-08-06 10:32:37+00:00,invite for interview,['Vacancy[550065] - Manager'],,['Toon Jones'],['Application[770496]'],"['Dionne Kershaw', 'Ed Geisler']",
3712,3713,2019-08-06 10:43:01+00:00,check references,,,,['Application[770343]'],"['Dionne Kershaw', 'Ed Kershaw']",
3713,3714,2019-08-06 10:49:02+00:00,submit application,['Vacancy[550073] - Consultant'],,['Jorge Lemmens'],['Application[770640]'],,
3714,3715,2019-08-06 10:52:23+00:00,check references,,,,['Application[770562]'],"['Dionne Kershaw', 'Jana Geisler']",
3715,3716,2019-08-06 11:00:34+00:00,consult manager,,['Ariel Bardin'],,['Application[770315]'],['Ed Kershaw'],
3716,3717,2019-08-06 11:11:58+00:00,send rejection,,,['Andre Weber'],['Application[770356]'],['Ed Geisler'],
3717,3718,2019-08-06 12:05:32+00:00,offer accepted and hired,['Vacancy[550057] - Consultant'],,['Stephan Smith'],['Application[770544]'],['Simon Meister'],['Offer[[990044]]']
3718,3719,2019-08-06 12:18:43+00:00,consult manager,,['Miguel Milano'],,['Application[770459]'],['Simon Meister'],
3719,3720,2019-08-06 12:22:24+00:00,submit application,['Vacancy[550110] - Programmer'],,['Sue Pietersen'],['Application[770641]'],,
3720,3721,2019-08-06 12:25:48+00:00,invite for interview,['Vacancy[550066] - Consultant'],,['Johan Li'],['Application[770459]'],"['Ed Geisler', 'Jana Hense']",
3721,3722,2019-08-06 12:38:26+00:00,make job offer,['Vacancy[550037] - Consultant'],['Miguel Milano'],['Mary Weber'],['Application[770479]'],['Jana Meister'],['Offer[[990046]]']
3722,3723,2019-08-06 12:44:25+00:00,first screening,,,,['Application[770545]'],['Dionne Meister'],
3723,3724,2019-08-06 13:26:37+00:00,first screening,,,,['Application[770499]'],['Simon Hense'],
3724,3725,2019-08-06 13:29:07+00:00,submit application,,,['Andre Weber'],['Application[770642]'],,
3725,3726,2019-08-06 13:29:08+00:00,conduct interview,['Vacancy[550064] - Manager'],['Martin Klenk'],['Toon Li'],['Application[770454]'],['Dionne Keane'],
3726,3727,2019-08-06 13:45:18+00:00,send rejection,,,['Lisa Zimmermann'],['Application[770499]'],['Simon Hense'],
3727,3728,2019-08-06 13:51:56+00:00,assign vacancy,['Vacancy[550055] - Consultant'],,,['Application[770443]'],,
3728,3729,2019-08-06 14:35:01+00:00,assign recruiter,,,,['Application[770640]'],"['Simon Meister', 'Jana Kershaw', 'Dionne Keane']",
3729,3730,2019-08-06 14:37:47+00:00,send rejection,,,['Pete Jones'],['Application[770490]'],['Dionne Geisler'],
3730,3731,2019-08-06 14:41:29+00:00,check references,,,,['Application[770474]'],"['Jana Keane', 'Simon Geisler']",
3731,3732,2019-08-06 14:42:34+00:00,submit application,,,['Mary Wang'],['Application[770643]'],,
3732,3733,2019-08-06 14:54:52+00:00,send rejection,,,['Lisa Lemmens'],['Application[770445]'],['Jana Meister'],
3733,3734,2019-08-06 15:02:18+00:00,first screening,,,,['Application[770606]'],['Simon Hense'],
3734,3735,2019-08-06 15:08:27+00:00,send rejection,,,['Toon Smith'],['Application[770400]'],['Jana Geisler'],
3735,3736,2019-08-06 15:10:12+00:00,assign recruiter,,,,['Application[770357]'],"['Simon Hense', 'Dionne Meister', 'Ed Hense']",
3736,3737,2019-08-06 15:38:55+00:00,check references,,,,['Application[770545]'],"['Dionne Keane', 'Ed Kershaw']",
3737,3738,2019-08-06 15:55:22+00:00,assign recruiter,,,,['Application[770630]'],"['Ed Geisler', 'Simon Keane', 'Ed Meister']",
3738,3739,2019-08-06 16:09:28+00:00,submit application,['Vacancy[550106] - Manager'],,['Pete Jones'],['Application[770644]'],,
3739,3740,2019-08-06 16:18:40+00:00,check references,,,,['Application[770547]'],"['Simon Geisler', 'Jana Geisler']",
3740,3741,2019-08-06 16:27:38+00:00,assign recruiter,,,,['Application[770643]'],"['Jana Geisler', 'Simon Meister', 'Dionne Geisler']",
3741,3742,2019-08-06 16:35:51+00:00,open vacancy,['Vacancy[550113] - Consultant'],['Vaishnavi Sashikanth'],,,,
3742,3743,2019-08-06 16:53:47+00:00,submit application,['Vacancy[550084] - Manager'],,['Toon Smith'],['Application[770645]'],,
3743,3744,2019-08-06 17:59:27+00:00,close vacancy for new applications,['Vacancy[550070] - Programmer'],,,,,
3744,3745,2019-08-06 17:59:27+00:00,consult manager,,['Martin Klenk'],,['Application[770481]'],['Simon Meister'],
3745,3746,2019-08-06 19:10:01+00:00,submit application,,,['Lisa Zimmermann'],['Application[770646]'],,
3746,3747,2019-08-06 19:55:53+00:00,make job offer,['Vacancy[550053] - Manager'],['Miguel Milano'],['Stephan Lemmens'],['Application[770392]'],['Ed Hense'],['Offer[[990047]]']
3747,3748,2019-08-06 20:05:45+00:00,invite for interview,['Vacancy[550061] - Programmer'],,['Detlef Wang'],['Application[770580]'],"['Dionne Keane', 'Ed Geisler']",
3748,3749,2019-08-06 20:48:41+00:00,submit application,,,['Lisa Lemmens'],['Application[770647]'],,
3749,3750,2019-08-07 07:21:35+00:00,assign recruiter,,,,['Application[770602]'],"['Dionne Hense', 'Simon Keane', 'Ed Kershaw']",
3750,3751,2019-08-07 07:33:03+00:00,check references,,,,['Application[770623]'],"['Simon Meister', 'Ed Hense']",
3751,3752,2019-08-07 07:46:29+00:00,check references,,,,['Application[770524]'],"['Simon Keane', 'Jana Kershaw']",
3752,3753,2019-08-07 08:07:43+00:00,check references,,,,['Application[770207]'],"['Ed Keane', 'Simon Keane']",
3753,3754,2019-08-07 08:10:09+00:00,first screening,,,,['Application[770495]'],['Ed Keane'],
3754,3755,2019-08-07 08:27:18+00:00,assign recruiter,,,,['Application[770610]'],"['Jana Keane', 'Simon Hense', 'Dionne Kershaw']",
3755,3756,2019-08-07 08:35:20+00:00,job offer declined,['Vacancy[550042] - Programmer'],,['Lisa Weber'],['Application[770221]'],['Ed Kershaw'],['Offer[[990020]]']
3756,3757,2019-08-07 08:58:22+00:00,conduct interview,['Vacancy[550043] - Consultant'],['Bastian Nominacher'],['Ray Johnson'],['Application[770370]'],['Dionne Hense'],
3757,3758,2019-08-07 09:49:46+00:00,assign recruiter,,,,['Application[770446]'],"['Jana Kershaw', 'Simon Keane', 'Dionne Hense']",
3758,3759,2019-08-07 09:53:56+00:00,assign recruiter,,,,['Application[770611]'],"['Dionne Kershaw', 'Simon Geisler', 'Simon Kershaw']",
3759,3760,2019-08-07 09:57:18+00:00,assign vacancy,['Vacancy[550075] - Programmer'],,,['Application[770582]'],,
3760,3761,2019-08-07 10:08:35+00:00,assign recruiter,,,,['Application[770594]'],"['Dionne Keane', 'Jana Keane', 'Ed Meister']",
3761,3762,2019-08-07 10:26:39+00:00,open vacancy,['Vacancy[550114] - Consultant'],['Miguel Milano'],,,,
3762,3763,2019-08-07 10:35:57+00:00,first screening,,,,['Application[770599]'],['Simon Meister'],
3763,3764,2019-08-07 10:40:26+00:00,invite for interview,['Vacancy[550070] - Programmer'],,['Angela Weber'],['Application[770481]'],"['Dionne Keane', 'Ed Geisler']",
3764,3765,2019-08-07 11:52:19+00:00,check references,,,,['Application[770579]'],"['Simon Kershaw', 'Jana Hense']",
3765,3766,2019-08-07 12:05:40+00:00,first screening,,,,['Application[770611]'],['Dionne Kershaw'],
3766,3767,2019-08-07 12:09:31+00:00,first screening,,,,['Application[770463]'],['Jana Meister'],
3767,3768,2019-08-07 12:48:40+00:00,offer accepted and hired,['Vacancy[550013] - Manager'],,['Mary Davis'],['Application[770414]'],['Dionne Keane'],['Offer[[990043]]']
3768,3769,2019-08-07 12:50:45+00:00,consult manager,,['Miguel Milano'],,['Application[770424]'],['Ed Hense'],
3769,3770,2019-08-07 12:56:21+00:00,check references,,,,['Application[770607]'],"['Jana Hense', 'Jana Geisler']",
3770,3771,2019-08-07 13:10:47+00:00,close vacancy for new applications,['Vacancy[550071] - Consultant'],,,,,
3771,3772,2019-08-07 13:10:47+00:00,consult manager,,['Vaishnavi Sashikanth'],,['Application[770508]'],['Ed Hense'],
3772,3773,2019-08-07 13:10:47+00:00,consult manager,,['Vaishnavi Sashikanth'],,['Application[770468]'],['Ed Meister'],
3773,3774,2019-08-07 13:10:47+00:00,consult manager,,['Vaishnavi Sashikanth'],,['Application[770518]'],['Ed Keane'],
3774,3775,2019-08-07 13:10:47+00:00,consult manager,,['Vaishnavi Sashikanth'],,['Application[770346]'],['Jana Keane'],
3775,3776,2019-08-07 13:10:47+00:00,consult manager,,['Vaishnavi Sashikanth'],,['Application[770526]'],['Simon Geisler'],
3776,3777,2019-08-07 13:31:36+00:00,first screening,,,,['Application[770511]'],['Dionne Meister'],
3777,3778,2019-08-07 13:57:05+00:00,consult manager,,['Martin Klenk'],,['Application[770541]'],['Dionne Meister'],
3778,3779,2019-08-07 14:11:05+00:00,first screening,,,,['Application[770408]'],['Ed Hense'],
3779,3780,2019-08-07 14:25:50+00:00,send rejection,,,['Toon Lopez'],['Application[770403]'],['Ed Meister'],
3780,3781,2019-08-07 14:25:50+00:00,submit application,['Vacancy[550088] - Programmer'],,['Toon Lopez'],['Application[770648]'],,
3781,3782,2019-08-07 14:54:11+00:00,send rejection,,,['Ray Lemmens'],['Application[770433]'],['Jana Hense'],
3782,3783,2019-08-07 15:31:18+00:00,make job offer,['Vacancy[550058] - Manager'],['Martin Klenk'],['Johan Davis'],['Application[770419]'],['Simon Keane'],['Offer[[990048]]']
3783,3784,2019-08-07 15:32:11+00:00,send rejection,,,['Ray Pietersen'],['Application[770485]'],['Simon Geisler'],
3784,3785,2019-08-07 15:36:00+00:00,submit application,,,['Ray Pietersen'],['Application[770649]'],,
3785,3786,2019-08-07 16:39:58+00:00,job offer declined,['Vacancy[550053] - Manager'],,['Andre Smith'],['Application[770233]'],['Jana Kershaw'],['Offer[[990039]]']
3786,3787,2019-08-07 16:56:20+00:00,submit application,['Vacancy[550073] - Consultant'],,['Ray Lemmens'],['Application[770650]'],,
3787,3788,2019-08-07 17:10:50+00:00,first screening,,,,['Application[770566]'],['Jana Keane'],
3788,3789,2019-08-07 17:37:51+00:00,open vacancy,['Vacancy[550115] - Consultant'],['Ariel Bardin'],,,,
3789,3790,2019-08-07 19:27:52+00:00,invite for interview,['Vacancy[550065] - Manager'],,['Jorge Park'],['Application[770523]'],"['Dionne Keane', 'Ed Meister']",
3790,3791,2019-08-08 05:28:07+00:00,close vacancy for new applications,['Vacancy[550072] - Consultant'],,,,,
3791,3792,2019-08-08 05:28:07+00:00,consult manager,,['Martin Klenk'],,['Application[770539]'],['Jana Geisler'],
3792,3793,2019-08-08 05:28:07+00:00,consult manager,,['Martin Klenk'],,['Application[770461]'],['Jana Geisler'],
3793,3794,2019-08-08 06:41:42+00:00,check references,,,,['Application[770478]'],"['Dionne Hense', 'Jana Hense']",
3794,3795,2019-08-08 07:07:34+00:00,assign recruiter,,,,['Application[770625]'],"['Simon Geisler', 'Simon Keane', 'Dionne Geisler']",
3795,3796,2019-08-08 07:09:44+00:00,first screening,,,,['Application[770627]'],['Simon Kershaw'],
3796,3797,2019-08-08 07:14:16+00:00,invite for interview,['Vacancy[550071] - Consultant'],,['Johan Weber'],['Application[770526]'],"['Dionne Kershaw', 'Simon Hense']",
3797,3798,2019-08-08 07:29:18+00:00,first screening,,,,['Application[770279]'],['Dionne Geisler'],
3798,3799,2019-08-08 07:30:06+00:00,invite for interview,['Vacancy[550068] - Consultant'],,['Sonia Zimmermann'],['Application[770412]'],"['Jana Keane', 'Dionne Meister']",
3799,3800,2019-08-08 07:39:33+00:00,offer accepted and hired,['Vacancy[550028] - Manager'],,['Mary Weber'],['Application[770479]'],['Jana Meister'],['Offer[[990046]]']
3800,3801,2019-08-08 08:11:50+00:00,check references,,,,['Application[770541]'],"['Ed Geisler', 'Jana Meister']",
3801,3802,2019-08-08 08:36:47+00:00,check references,,,,['Application[770518]'],"['Simon Hense', 'Simon Geisler']",
3802,3803,2019-08-08 08:56:42+00:00,assign recruiter,,,,['Application[770645]'],"['Jana Hense', 'Jana Kershaw', 'Dionne Kershaw']",
3803,3804,2019-08-08 08:59:30+00:00,assign recruiter,,,,['Application[770637]'],"['Simon Geisler', 'Dionne Geisler', 'Simon Hense']",
3804,3805,2019-08-08 09:09:39+00:00,check references,,,,['Application[770503]'],"['Simon Keane', 'Ed Hense']",
3805,3806,2019-08-08 09:11:59+00:00,conduct interview,['Vacancy[550045] - Manager'],['Vaishnavi Sashikanth'],['Mary Zimmermann'],['Application[770222]'],['Ed Meister'],
3806,3807,2019-08-08 09:20:27+00:00,conduct interview,['Vacancy[550048] - Programmer'],['Alexander Rinke'],['Dave Johnson'],['Application[770444]'],['Jana Geisler'],
3807,3808,2019-08-08 09:30:27+00:00,send rejection,,,['Dave Johnson'],['Application[770444]'],['Jana Geisler'],
3808,3809,2019-08-08 09:30:27+00:00,submit application,['Vacancy[550078] - Programmer'],,['Dave Johnson'],['Application[770651]'],,
3809,3810,2019-08-08 09:32:36+00:00,assign recruiter,,,,['Application[770614]'],"['Simon Hense', 'Simon Kershaw', 'Jana Meister']",
3810,3811,2019-08-08 09:33:41+00:00,offer accepted and hired,['Vacancy[550009] - Programmer'],,['Jorge Smith'],['Application[770268]'],['Simon Geisler'],['Offer[[990037]]']
3811,3812,2019-08-08 09:46:00+00:00,send rejection,,,['Detlef Zimmermann'],['Application[770475]'],['Jana Meister'],
3812,3813,2019-08-08 09:47:08+00:00,first screening,,,,['Application[770594]'],['Dionne Keane'],
3813,3814,2019-08-08 10:00:13+00:00,offer accepted and hired,['Vacancy[550049] - Programmer'],,['Mary Park'],['Application[770359]'],['Ed Keane'],['Offer[[990041]]']
3814,3815,2019-08-08 10:08:54+00:00,assign recruiter,,,,['Application[770578]'],"['Ed Geisler', 'Simon Geisler', 'Ed Meister']",
3815,3816,2019-08-08 10:19:38+00:00,consult manager,,['Miguel Milano'],,['Application[770219]'],['Simon Keane'],
3816,3817,2019-08-08 10:29:57+00:00,first screening,,,,['Application[770597]'],['Jana Kershaw'],
3817,3818,2019-08-08 10:31:28+00:00,make job offer,['Vacancy[550045] - Manager'],['Vaishnavi Sashikanth'],['Mary Zimmermann'],['Application[770222]'],['Ed Meister'],['Offer[[990049]]']
3818,3819,2019-08-08 10:32:19+00:00,invite for interview,['Vacancy[550065] - Manager'],,['Detlef Schmidt'],['Application[770431]'],"['Dionne Hense', 'Jana Keane']",
3819,3820,2019-08-08 10:45:13+00:00,submit application,,,['Detlef Zimmermann'],['Application[770652]'],,
